cadence,metric,n_events,n_success,efficiency,z_lo,z_hi,sigma
baseline_v5.1.1_10yrs,SLSN_ELAsTiCC_Metric,35472,211,0.0059483536310329,3.6,3.7,0.00040828180522710925
baseline_v5.1.1_10yrs,SLSN_SpecTrigger_Physical_Metric,35472,0,0.0,3.6,3.7,0.0
baseline_v5.3.0_10yrs,SLSN_Detect_Physical_Metric,35472,27,0.0007611637347767,3.6,3.7,0.00014643026851767556
baseline_v5.3.0_10yrs,SLSN_Characterize_Physical_Metric,35472,5,0.0001409562471808,3.6,3.7,6.303310718510564e-05
baseline_v5.3.0_10yrs,SLSN_Villar_Physical_Metric,35472,0,0.0,3.6,3.7,0.0
baseline_v5.3.0_10yrs,SLSN_ELAsTiCC_Metric,35472,211,0.0059483536310329,3.6,3.7,0.00040828180522710925
baseline_v5.3.0_10yrs,SLSN_SpecTrigger_Physical_Metric,35472,0,0.0,3.6,3.7,0.0
baseline_v5.1.1_10yrs,SLSN_Detect_Physical_Metric,33338,6,0.0001799748035275,3.7,3.8,7.346779379827786e-05
baseline_v5.1.1_10yrs,SLSN_Characterize_Physical_Metric,33338,1,2.9995800587917693e-05,3.7,3.8,2.9995350710517603e-05
baseline_v5.1.1_10yrs,SLSN_Villar_Physical_Metric,33338,1,2.9995800587917693e-05,3.7,3.8,2.9995350710517603e-05
baseline_v5.1.1_10yrs,SLSN_ELAsTiCC_Metric,33338,156,0.0046793448917151,3.7,3.8,0.0003737698491678587
baseline_v5.1.1_10yrs,SLSN_SpecTrigger_Physical_Metric,33338,0,0.0,3.7,3.8,0.0
baseline_v5.3.0_10yrs,SLSN_Detect_Physical_Metric,33338,7,0.0002099706041154,3.7,3.8,7.935309651094027e-05
baseline_v5.3.0_10yrs,SLSN_Characterize_Physical_Metric,33338,0,0.0,3.7,3.8,0.0
baseline_v5.3.0_10yrs,SLSN_Villar_Physical_Metric,33338,1,2.9995800587917693e-05,3.7,3.8,2.9995350710517603e-05
baseline_v5.3.0_10yrs,SLSN_ELAsTiCC_Metric,33338,172,0.0051592777011218,3.7,3.8,0.00039237511706170504
baseline_v5.3.0_10yrs,SLSN_SpecTrigger_Physical_Metric,33338,0,0.0,3.7,3.8,0.0
baseline_v5.1.1_10yrs,SLSN_Detect_Physical_Metric,31132,2,6.424257998201208e-05,3.8,3.9,4.542490476935464e-05
baseline_v5.1.1_10yrs,SLSN_Characterize_Physical_Metric,31132,0,0.0,3.8,3.9,0.0
baseline_v5.1.1_10yrs,SLSN_Villar_Physical_Metric,31132,0,0.0,3.8,3.9,0.0
